Age,Gender,Country,state,self_employed,family_history,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical
25,0,45,10,2,0,1,4,0,1,2,1,1,2,2,2,1,1,1,2,1,0,2
32,1,45,11,2,0,2,5,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
20,1,7,45,2,0,2,4,0,1,1,0,1,1,0,1,1,1,2,2,2,2,1
19,1,44,45,2,1,1,2,0,1,1,2,1,1,1,1,2,2,1,0,0,0,1
19,1,45,37,2,0,0,1,1,1,2,0,0,0,0,0,1,1,1,2,2,2,0
21,1,45,36,2,1,3,4,0,1,2,1,1,0,0,0,1,1,2,2,1,0,0
23,0,45,18,2,1,3,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0
27,1,7,45,2,0,0,0,1,1,1,2,1,1,2,0,1,1,0,0,1,1,1
30,0,45,10,2,1,3,1,0,1,2,2,1,1,1,3,0,1,2,2,1,0,1
11,1,7,45,2,0,0,2,0,1,0,0,0,0,0,0,1,1,2,2,0,0,2
19,1,45,29,2,0,3,4,1,1,0,0,1,1,0,0,1,1,1,2,1,1,0
17,1,6,45,2,0,0,1,1,1,0,1,1,1,0,0,1,1,2,2,2,2,0
30,0,45,2,2,1,3,2,0,0,2,2,1,1,0,1,2,2,2,2,0,0,1
24,1,45,4,2,1,0,3,0,1,0,1,1,0,0,0,1,1,2,2,1,1,0
15,1,7,45,2,0,0,4,0,1,0,1,0,0,0,2,1,1,1,1,0,2,2
17,0,45,10,2,1,2,2,0,1,2,1,1,1,0,2,1,1,2,1,0,0,0
11,1,44,45,2,0,3,2,1,1,0,0,0,0,0,4,0,1,1,0,0,0,1
20,1,45,36,2,0,3,4,0,1,2,2,1,0,0,0,0,1,1,2,1,1,1
34,1,45,16,1,1,3,0,1,1,2,1,2,0,2,4,1,1,2,2,1,2,2
24,1,15,45,1,1,4,4,1,1,1,0,2,1,2,2,1,1,1,1,0,0,0
17,1,45,28,0,1,3,1,0,1,2,2,1,1,1,1,0,1,1,1,1,1,1
19,1,45,22,1,0,0,0,1,1,1,0,1,1,2,1,1,1,1,1,1,0,2
34,1,45,15,0,0,1,2,1,1,2,2,1,1,0,0,0,1,1,2,1,0,1
29,1,45,8,0,0,0,5,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0
21,1,45,2,0,1,2,2,0,1,2,1,0,2,2,0,1,1,2,2,1,2,0
23,1,45,36,0,1,3,5,0,0,2,2,1,0,1,4,2,1,1,2,1,2,1
21,1,45,36,0,0,4,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0
23,0,45,2,0,1,2,4,1,1,2,2,0,0,0,0,1,1,2,2,0,0,2
22,1,45,29,0,0,3,2,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1
25,1,44,45,0,0,3,4,0,1,1,0,1,1,0,3,2,0,1,0,1,0,1
20,1,44,45,0,0,0,4,1,1,1,0,1,1,0,0,2,2,1,1,1,0,1
19,1,45,32,1,1,2,0,1,1,1,2,1,1,0,1,2,1,0,0,1,1,1
18,1,44,45,0,1,3,3,1,1,0,0,1,1,2,2,0,1,1,2,1,2,0
30,1,45,41,0,1,3,2,1,1,2,2,2,2,2,4,0,1,1,1,0,2,0
28,0,45,42,0,0,3,0,0,1,2,2,1,1,0,0,0,1,1,0,1,0,2
15,1,45,28,0,0,2,4,0,1,1,2,1,1,0,4,1,1,2,2,0,0,0
17,1,7,45,0,0,2,0,0,1,1,0,1,1,0,4,2,0,1,0,1,1,0
26,1,34,45,0,0,4,1,0,1,1,2,1,1,0,2,0,1,1,1,1,0,1
38,1,45,11,0,0,4,1,0,1,2,2,1,0,0,0,1,1,1,2,1,0,0
23,1,45,37,0,0,2,5,1,1,2,2,1,2,2,4,1,1,2,2,0,0,2
12,1,44,45,0,0,3,4,0,1,1,0,1,1,0,0,0,0,1,0,1,2,1
23,1,45,18,0,0,4,5,1,1,2,1,0,2,0,1,2,2,1,0,1,0,0
15,1,7,45,0,1,3,0,0,1,1,2,1,1,2,3,0,1,1,0,1,1,2
6,1,28,45,0,0,1,4,0,1,1,1,1,1,0,1,2,0,0,1,1,1,1
18,1,45,11,0,0,3,2,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0
26,0,45,37,0,1,3,2,0,1,2,2,1,2,2,2,1,1,1,2,1,1,2
16,1,44,45,0,0,4,2,0,1,0,1,1,1,0,0,1,0,1,2,0,2,0
22,1,45,36,0,0,4,4,0,1,1,0,1,1,0,0,1,1,2,2,0,2,0
14,1,7,45,1,0,3,0,0,1,1,2,2,1,0,0,1,1,2,2,1,1,2
18,1,45,10,0,1,2,2,0,1,2,0,1,0,0,0,0,1,1,2,1,1,0
10,1,45,37,0,1,1,4,0,1,1,2,1,1,2,3,0,1,0,0,1,0,0
21,1,45,38,0,0,4,1,1,1,0,1,0,0,0,0,1,1,1,2,0,0,0
19,1,45,45,0,0,4,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
20,1,45,36,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,2,1,1,0
16,1,42,45,0,0,4,1,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0
15,1,45,28,0,1,2,2,0,1,2,2,1,1,2,0,0,1,0,0,1,1,0
20,1,45,36,0,1,4,4,1,1,0,0,1,1,0,2,1,1,2,2,1,1,2
12,1,45,28,0,1,3,2,1,1,0,0,1,1,0,0,1,0,1,2,2,2,1
